2800:100,13,35,50,20,141,302,0,637,458,420,541,88,795
3500:100,38,63,92,45,206,381,25,679,471,312,387,73,547
4300:100,45,80,100,94,274,459,40,770,467,141,282,105,378
5000:100,73,109,136,122,325,509,39,813,467,97,212,90,310
5500:100,93,130,159,139,355,541,34,844,463,76,178,83,278
6500:100,130,170,202,168,406,593,23,900,453,54,132,76,235
7500:100,162,204,236,192,445,640,6,952,443,41,105,73,207
